query_id,dataset_name,tier,split
17cfb835d45a,Mathematical Reasoning,medium,val
1810bb2c3870,General Knowledge,easy,train
1829f05dcfb9,Mathematical Reasoning,easy,train
18852c63014b,Coding,easy,train
189cbaacc860,Coding,easy,train
18c4faf39f23,General Knowledge,easy,train
18c653d2053c,Coding,easy,train
18cd47780902,Coding,hard,train
1939161d2c9f,Coding,easy,train
194e00bea335,Coding,medium,train
197195a76585,General Knowledge,medium,train
19ca9b68c730,General Knowledge,easy,train
19d4cd7a0777,General Knowledge,easy,train
1a13d9bb8770,Coding,easy,train
1a2150f779d2,General Knowledge,easy,train
1a367b8ff25d,General Knowledge,easy,train
1a6beccfed0e,Coding,medium,train
1ad490a8af75,General Knowledge,easy,train
1aeb97924e37,Coding,easy,test
1b5553de3af1,Coding,easy,train
1b5abc31a095,Coding,easy,train
1b7ef6445000,General Knowledge,easy,val
1b8c3958c8ff,General Knowledge,easy,train
1bebf21defad,General Knowledge,easy,train
1c42f50ea537,Coding,medium,test
1c658583689f,Scientific Questionnaire,medium,val
1c66804d44d0,Coding,easy,val
1c850cd6b1b9,Coding,easy,train
1cdd15ef3a00,General Knowledge,easy,train
1ce07985682f,Coding,easy,train
1d054f564618,General Knowledge,easy,train
1d211958e920,General Knowledge,easy,train
1d5fb7b0a88a,Scientific Questionnaire,easy,val
1d6b8b27600c,Coding,easy,train
1d973063e87d,Coding,easy,train
1d97ca685dd5,Coding,easy,test
1dac2b240830,General Knowledge,easy,train
1dbf5de6b61b,General Knowledge,easy,train
1dc5fa5e439b,Coding,medium,train
1dd95b090b19,General Knowledge,hard,val
1df235bf67b0,General Knowledge,easy,train
1e000113526f,Coding,easy,train
1e311b447650,General Knowledge,easy,val
1ec80056dad8,Coding,easy,train
1ec90ce1740e,General Knowledge,easy,val
1ed5de22c274,General Knowledge,medium,train
1eedf5d071f9,General Knowledge,hard,train
1ef6a71b1257,General Knowledge,easy,val
1ef86ab64fab,General Knowledge,medium,train
1efff44e94e2,General Knowledge,easy,train
1f34d1c35834,General Knowledge,easy,train
1f40b2375fb2,General Knowledge,easy,test
1f6061b1d173,General Knowledge,hard,val
1f853990a273,Coding,medium,test
1f95441f84b4,General Knowledge,medium,train
1f9df4d59896,Coding,hard,val
1fac77381739,Coding,easy,train
204df0ba7ba6,Competitive Math,hard,train
205fe3ea96be,Coding,easy,train
206e5413325c,Coding,easy,train
2073b3dcb8fd,Mathematical Reasoning,easy,train
20d2fa057c90,Coding,medium,train
2133a38e8dc7,General Knowledge,easy,train
2155149e8373,General Knowledge,hard,val
216f0271d487,General Knowledge,easy,val
217662f61c64,General Knowledge,easy,train
217c20bada34,Coding,medium,train
219464db3f22,Mathematical Reasoning,hard,train
21ad0c4a2baf,Coding,easy,test
21cabfe4baef,General Knowledge,easy,train
21cd34c5b553,General Knowledge,easy,train
220280e41389,General Knowledge,medium,train
223309363533,Coding,medium,train
228ac588a305,General Knowledge,medium,train
2294e1252c51,General Knowledge,hard,test
2299c6dee23b,Coding,easy,train
229e165c1aa3,General Knowledge,easy,train
22a07c2fc436,Mathematical Reasoning,easy,val
22a10789ba95,General Knowledge,easy,train
22f2200d0082,General Knowledge,easy,train
233404bde32c,Scientific Questionnaire,easy,train
233a2eb2b974,Coding,medium,val
233bddb2427a,General Knowledge,easy,train
2340bd305dbb,General Knowledge,easy,train
23531ac0fe51,Coding,medium,train
2361d6017a1f,Coding,medium,train
23765b99c24c,General Knowledge,medium,train
237b209a5ce8,Scientific Questionnaire,easy,train
237b99263f9d,Mathematical Reasoning,easy,train
239c6ed86c5a,General Knowledge,easy,val
23e8e51eb4bc,Mathematical Reasoning,easy,train
23f563ab8be7,General Knowledge,medium,train
2402f3164dcf,General Knowledge,easy,val
242cac1a3a1e,Coding,easy,val
244094abdf5a,Coding,hard,train
2452def5242b,Coding,hard,train
2455081bab99,Coding,easy,train
2491f59c887c,General Knowledge,easy,val
24a8a3e28f79,General Knowledge,easy,train
24bee32a2a63,General Knowledge,hard,train
24c622cebd77,Mathematical Reasoning,easy,train
24e2ba1f3389,Coding,easy,train
24fcaa683313,Coding,hard,val
250fbdc38e2b,Coding,easy,train
255a5313069e,Coding,medium,train
257dba0fd2dc,Coding,easy,test
259e00344ce8,Scientific Questionnaire,easy,train
25b912fb180d,Coding,easy,train
25e09983e5f1,Coding,easy,val
25ef205212a0,Coding,medium,val
260ec1d46097,General Knowledge,easy,train
26645286552f,Coding,medium,train
26a43291c379,General Knowledge,hard,train
26afa5aeff3b,Coding,hard,train
26be6ed51836,Coding,easy,train
26f86d499898,General Knowledge,easy,train
271edbaa1443,General Knowledge,medium,train
272f742eabdb,Scientific Questionnaire,easy,train
27651c1bf056,Coding,easy,train
2769df9758ca,Coding,easy,test
27ae67bb4450,Coding,medium,train
27c2cbf64af3,General Knowledge,hard,train
27f6b491cad7,Scientific Questionnaire,easy,train
280166bd19af,General Knowledge,easy,train
280d38b8f054,Scientific Questionnaire,medium,train
2844109fed5e,General Knowledge,easy,val
286a0f13cde7,Coding,easy,train
28a385249131,Coding,medium,train
28b41fa8e026,Coding,easy,test
28c8928ef8b5,Coding,medium,train
28d308ec4aec,General Knowledge,medium,test
28dfeb6acbd6,General Knowledge,easy,train
28eccf4b341a,General Knowledge,easy,test
2906c8749a7d,Coding,medium,train
2945a63276cc,General Knowledge,easy,train
29479ad10904,Coding,hard,train
298070a9ffbd,General Knowledge,hard,train
29847815f909,General Knowledge,easy,train
29a7be74659f,General Knowledge,hard,test
29ad4d2697d7,Coding,easy,train
29dfaf9dbbe4,Coding,medium,train
2a03dad9afe2,General Knowledge,easy,test
2a172c97a806,General Knowledge,hard,train
2a28c6ab6bf5,General Knowledge,easy,train
2a3ed72ca14c,Mathematical Reasoning,medium,train
2a4d2bf4512c,Coding,medium,train
2a6af50ee7fb,Coding,easy,val
2a789c4a42ac,General Knowledge,easy,test
2a8578427d2f,Coding,medium,train
2acc89d3cc19,General Knowledge,medium,val
2ada3b5ae6f8,Mathematical Reasoning,medium,train
2ae94fb6bf1f,General Knowledge,easy,train
2ae95c0b9f63,Coding,easy,train
2b1c526ac7f5,Coding,easy,train
2b231a3d39a6,Coding,easy,val
2bc5abc8bb65,General Knowledge,medium,train
2bef8724bc9b,General Knowledge,easy,train
2bf6208c093e,General Knowledge,hard,train
2bff78bb6d1e,General Knowledge,easy,train
2c20389d5a2e,General Knowledge,easy,train
2c29f30aa7d9,Mathematical Reasoning,easy,train
2c2c6d1523f4,Coding,hard,train
2c46a6d29fa1,Scientific Questionnaire,easy,test
2c4dd1fa7f01,Coding,medium,train
2c6d83f29ad1,General Knowledge,easy,train
2c85894b0e0f,Scientific Questionnaire,easy,test
2c8c764ae721,General Knowledge,easy,train
2cc3c20bebfe,General Knowledge,easy,train
2d0c53dd660b,General Knowledge,easy,train
2d18ca407100,Coding,easy,train
2d29cfeff11a,General Knowledge,easy,train
2d2a6e152fa6,General Knowledge,easy,train
2d2b25a87655,Coding,easy,train
2d2ead7b93e2,Coding,easy,train
2d57401e5a38,General Knowledge,easy,train
2d9510ac7bfa,General Knowledge,easy,train
2d9862052fbb,General Knowledge,easy,train
2daa0ac616c5,Coding,hard,train
2db020780397,Coding,easy,val
2dc25ac87256,Scientific Questionnaire,medium,val
2dc29ab51ce0,Coding,easy,train
2dee042dc07a,Coding,easy,val
2df1b105c75f,General Knowledge,easy,val
2e3a98286b34,Coding,easy,train
2e59d30e8380,Coding,easy,train
2e67c937469e,Coding,easy,val
2e7be0d7eeee,Coding,easy,train
2ebe1c86d76f,Coding,easy,train
2ed00708186f,Coding,easy,train
2f329ffcf00e,General Knowledge,easy,train
2f6c8d4c44c8,Coding,hard,train
2fdbe724d77f,General Knowledge,easy,train
300cc04d1ba6,Coding,medium,test
304dc500a593,General Knowledge,medium,val
308378ac70e1,Coding,easy,train
30aabf7e19fc,General Knowledge,hard,train
310dadcabbd3,General Knowledge,easy,train
312bd56083ea,General Knowledge,easy,train
312d2d85b610,Coding,easy,train
313c5729f818,General Knowledge,medium,train
3159b78c622c,Coding,easy,train
31a77efbd4a3,Coding,easy,train
31c9d5642f97,General Knowledge,hard,train
322d76dd6213,Coding,easy,train
329ba1efec66,Mathematical Reasoning,easy,val
32f9481d8918,Coding,hard,train
33258efdc365,Scientific Questionnaire,medium,train
336bd8d61fd1,Coding,easy,val
33762c8e6716,General Knowledge,easy,val
339818b9beb1,General Knowledge,easy,test
339f2850490a,Coding,easy,train
33c8237b64bc,General Knowledge,easy,train
33cd439f34e1,General Knowledge,easy,train
33d58d734d54,Scientific Questionnaire,easy,train
33de0934ef55,General Knowledge,hard,train
33e24bb04092,General Knowledge,easy,train
346a010e8866,General Knowledge,easy,train
349ccb11870b,Coding,easy,train
35070811a880,General Knowledge,easy,test
350d0cf5f859,General Knowledge,hard,test
3516989d16a5,General Knowledge,easy,train
352656fe95dc,General Knowledge,easy,train
3528db11c435,General Knowledge,hard,train
35489c72b7fd,General Knowledge,easy,train
356026d77698,General Knowledge,medium,train
357918ec5829,Coding,easy,test
3584f80f6365,General Knowledge,easy,train
35b611b735d5,General Knowledge,hard,train
35c1a5234162,Scientific Questionnaire,easy,train
360c9b4c3f72,Coding,medium,val
361936ab97a2,Coding,easy,val
363a12b0ddf5,Coding,medium,val
36433a436443,Coding,easy,train
36c2dedb9679,General Knowledge,easy,train
36cd3834b8be,General Knowledge,easy,val
36eca5ed8864,Competitive Math,medium,val
36ed8965ddac,Coding,easy,test
36ef7d66fb11,Coding,easy,val
36f8637bdffd,General Knowledge,easy,train
372321b311ef,Scientific Questionnaire,easy,train
3732a1dce229,Coding,medium,train
37407e428207,Coding,easy,train
374e27f9ce1e,Coding,easy,train
375e200a61b5,Scientific Questionnaire,easy,train
37654bab5877,General Knowledge,medium,train
376de3898ccf,Coding,medium,train
37aa37326fb4,Coding,easy,test
37ac8b2b0039,General Knowledge,easy,train
37b54a27e3c7,General Knowledge,easy,train
37d930616810,General Knowledge,easy,train
37e6a0a5f013,General Knowledge,easy,train
37ff8ab3ff3b,General Knowledge,hard,val
3815b78a6dde,General Knowledge,easy,train
381ba7377c17,General Knowledge,easy,val
382fea173096,General Knowledge,easy,train
38359c449733,Coding,easy,test
387305239743,Scientific Questionnaire,easy,train
387f02f105d6,Coding,easy,val
3889faae16b2,Competitive Math,medium,train
389f2431c871,General Knowledge,easy,train
38e19d1a02ef,Coding,easy,train
38ecb7ef9051,Competitive Math,medium,test
391b02a0bbd2,General Knowledge,easy,train
396fdbdff40c,Scientific Questionnaire,medium,train
397f8a333a51,General Knowledge,easy,train
39904efcc2af,Coding,hard,val
39a76559408e,Coding,easy,test
39c08026c951,Coding,easy,val
39deb0ff4c29,Coding,easy,train
3a1757e5edb9,General Knowledge,hard,train
3a1aba3d0c1b,Coding,easy,test
3a2d1095fe00,General Knowledge,easy,train
3a5a1397b506,Coding,medium,train
3a649c970341,Coding,easy,test
3a6e92d5cde6,General Knowledge,easy,train
3a972e0a5790,General Knowledge,easy,train
3ac03dfcf03c,General Knowledge,easy,val
3ac266ac71ea,Coding,medium,train
3aceb9c4eddd,Coding,medium,train
3ae1bf95e01e,Coding,easy,train
3af72098409b,Coding,easy,train
3c0300b7d77d,Scientific Questionnaire,easy,train
3c067e809137,Coding,easy,train
3c0e112c9fe6,Coding,easy,val
3c17b6b60a57,General Knowledge,medium,test
3c379e1d34ee,General Knowledge,easy,train
3cafc0dc80f7,General Knowledge,easy,val
3d02095299c2,Scientific Questionnaire,medium,test
3d176ecd475d,Coding,easy,test
3d5a9d588599,Scientific Questionnaire,easy,val
3d6d3e6d4a6a,Coding,easy,val
3d75313db238,Coding,medium,test
3d8b39d00e9e,General Knowledge,easy,train
3d937b9eab1b,Coding,easy,train
3d9d191fae5a,Coding,medium,train
3db6e4af14b7,General Knowledge,easy,val
3dec61dfeb35,General Knowledge,easy,train
3e05a2ebad64,Coding,easy,test
3e14991b4042,Coding,easy,train
3e1f59c13acf,Scientific Questionnaire,easy,train
3e58a19258be,Scientific Questionnaire,hard,train
3ece8856da03,Coding,hard,test
3f39ed155b04,Coding,easy,train
3f5d539d5cde,Coding,medium,train
3f8e5f56eba0,General Knowledge,easy,train
3f9028d9c30a,General Knowledge,easy,test
3fa16f4d28fa,General Knowledge,easy,train
3fa6340054a8,Scientific Questionnaire,easy,train
3fcb7d556851,General Knowledge,easy,val
3fcc8ee98fcf,Coding,easy,val
3fe70b05cd5b,Coding,medium,test
4007414673fa,General Knowledge,easy,train
402af1e13c6a,Coding,easy,test
405cc18c6078,General Knowledge,medium,train
407c1ef81710,Coding,easy,val
410b06c86e37,General Knowledge,easy,train
415793af2772,Scientific Questionnaire,easy,train
416309b149c3,Coding,hard,train
4174aea31062,General Knowledge,easy,test
417f319c73cc,Scientific Questionnaire,easy,val
418611361a89,Coding,medium,val
419a46c4f461,Coding,hard,train
419a5d8e7586,Coding,easy,train
41a41e32a56b,Coding,easy,train
41aa69aa7520,General Knowledge,medium,train
41b16128cdca,Coding,easy,train
41f4a43b8472,General Knowledge,easy,train
41f7b87f95e5,General Knowledge,easy,val
421b0b13e3d6,Coding,medium,train
427155b04acd,Coding,medium,val
42c18bbadd65,Coding,easy,train
42d9d1a6883a,Coding,easy,train
4374175fed2d,Coding,hard,train
43a2cd194759,Competitive Math,medium,train
43a83c274100,General Knowledge,easy,train
43d84a714c5d,Coding,easy,train
43faffa2ad68,Coding,easy,test
441ada4c2112,Coding,medium,train
441d7a004224,General Knowledge,easy,train
44343dcc9ae6,General Knowledge,easy,train
44457ce0201e,Coding,hard,train
444e99d0f1d8,General Knowledge,easy,train
4460f2ffb36f,Coding,medium,val
4468ef10bb43,Coding,easy,train
447a265a0ad5,Mathematical Reasoning,easy,train
4488da89daa2,Coding,easy,train
44a59cdb67c2,General Knowledge,easy,test
44b42b5b22f6,General Knowledge,easy,train
44bcc6538c7f,Coding,easy,train
44e1ea1e3eb3,General Knowledge,medium,train
4517474d22e4,Coding,medium,test
45205f454aed,Scientific Questionnaire,hard,val
45b22ec351f7,General Knowledge,easy,train
45b72a9c95fc,Coding,easy,test
460765645920,Coding,easy,val
463a9f2fd32b,Coding,easy,train
46661240b7d2,Scientific Questionnaire,easy,train
4667c43beb39,Coding,easy,train
46b6cc30cad4,General Knowledge,easy,train
46d0fc7ccd57,General Knowledge,easy,train
46e5e08627ae,General Knowledge,easy,train
46eb25619b16,General Knowledge,easy,train
46fe826574d1,General Knowledge,easy,train
470269d5f6f8,Coding,easy,train
471b8a892225,General Knowledge,easy,train
473c9a40dedc,Coding,easy,train
47d039d0c4ab,Coding,easy,train
480d8d199969,Coding,medium,train
482729895626,General Knowledge,hard,train
484d77100665,Coding,easy,train
4853d423ce20,Coding,hard,test
486a70e231ff,Coding,easy,train
4876ce6c606c,General Knowledge,easy,train
4887ec4d64bc,General Knowledge,easy,val
4897b757ee96,Coding,easy,train
48f7a5377fbf,Coding,easy,train
49151184a1ec,General Knowledge,easy,val
4960a21417f3,Coding,easy,train
498175bd87db,Coding,easy,train
49b907a11799,General Knowledge,medium,train
49c0a3b4a5d6,General Knowledge,medium,train
49c5fddc4dfd,General Knowledge,easy,val
49cb6c82f904,Coding,easy,train
4a0f9b4d314d,General Knowledge,hard,val
4a235be6e398,Coding,medium,train
4a2514b9959c,General Knowledge,hard,train
4a36bbd49bf0,General Knowledge,easy,train
4a43b63a3775,Coding,easy,val
4ae09776fb96,Scientific Questionnaire,medium,train
4b1d2617b825,General Knowledge,easy,train
4b2584e4894b,Coding,hard,train
4b25c6ab8b10,General Knowledge,easy,train
4b4bb309c15a,General Knowledge,easy,train
4bab54faa7b7,Coding,easy,train
4bf9f95f3be8,Mathematical Reasoning,medium,train
4c115c751687,General Knowledge,easy,val
4c54f076cb5d,Coding,medium,train
4c676db961bb,Mathematical Reasoning,hard,test
4cee99837784,General Knowledge,easy,train
4cf23ea83aee,General Knowledge,hard,test
4d0214cebd9d,General Knowledge,easy,train
4d0498a1dc2b,Scientific Questionnaire,easy,train
4d182f4b4b35,General Knowledge,easy,train
4d1875783c8c,Competitive Math,medium,train
4d66bef8346b,General Knowledge,medium,train
4dded359bb2b,General Knowledge,easy,train
4e05ff75d486,Coding,hard,train
4e17b048551f,Coding,easy,test
4e500a914e04,General Knowledge,easy,train
4e6040dabff9,General Knowledge,easy,train
4eb5b771fa91,Coding,medium,train
4eb726f08ce6,General Knowledge,easy,train
4eeea385993d,General Knowledge,hard,train
4eeeb9c9cd12,Coding,hard,train
4f3da53d7f08,Coding,easy,train
4f40c9466c23,General Knowledge,easy,test
4f46aa0e7a4e,Coding,hard,test
4f5cdbbf3d5e,Scientific Questionnaire,medium,train
4f95f0b08630,Scientific Questionnaire,easy,train
4f9ac6094bdd,General Knowledge,easy,train
4faaf4d299a3,General Knowledge,easy,train
4ff2b632abb5,General Knowledge,easy,train
501a017108cd,General Knowledge,medium,val
5060d0e8c6b0,Coding,easy,train
506433696f24,General Knowledge,hard,val
509e9420a57b,General Knowledge,easy,train
50a89f8d99f8,General Knowledge,easy,train
50b4f2d690cd,General Knowledge,easy,train
50d31797c93e,Coding,hard,test
50e83de63b5b,Coding,easy,test
50f5e85223bb,Coding,easy,train
510f5168fce5,General Knowledge,easy,train
511b20b4a864,Coding,hard,train
511b489d9250,Mathematical Reasoning,hard,train
51425c8376db,Coding,hard,test
517e1b88179b,Mathematical Reasoning,easy,train
518eddec9901,Coding,easy,train
51a3a00646c7,Coding,easy,train
51bc93139fde,Mathematical Reasoning,easy,train
51cd0ca1914b,Coding,medium,train
51d521f86c35,General Knowledge,hard,train
51f3e03708b4,General Knowledge,medium,test
521aa2331254,General Knowledge,easy,test
527784b499c5,Coding,easy,train
52962e112ef5,General Knowledge,easy,train
52bab0d61ba0,Coding,medium,train
52bd35cc5f80,General Knowledge,easy,test
52d1ee1164f3,Coding,medium,test
52d83d8147a5,General Knowledge,easy,test
52f6565a7d2c,Coding,easy,train
5324f363a8a1,General Knowledge,easy,train
53522f4a84d1,Coding,easy,train
536c4d5fed86,Coding,hard,train
53898196091b,Coding,easy,test
53b094a10c02,General Knowledge,easy,train
53d829f9755b,General Knowledge,easy,val
54006c6f3db3,Coding,easy,train
5410f9f11d33,Coding,easy,train
54936fb020a7,Coding,easy,val
54b38ef2a1d3,Mathematical Reasoning,easy,val
54e289cf4296,General Knowledge,easy,val
54e7db9f5ef1,Coding,easy,train
54ef629b45c3,Mathematical Reasoning,easy,val
54f2b8767907,Scientific Questionnaire,easy,train
54f7b43063f2,Coding,easy,train
55034fb5bdc8,General Knowledge,easy,train
5514cc43d27c,Competitive Math,medium,train
5534c4aa04ab,General Knowledge,medium,train
555f59863754,Coding,medium,train
55689140b6ea,General Knowledge,easy,train
55827cca4580,General Knowledge,easy,train
558d9bc57082,Coding,easy,train
55c2b86e7844,General Knowledge,hard,val
55e96828d9ec,Coding,easy,train
5603dfd0a90b,Coding,easy,train
561856f35cf4,Scientific Questionnaire,medium,train
561c63b49b5d,Coding,easy,train
5651dd29deb1,Mathematical Reasoning,hard,train
56637150980f,Scientific Questionnaire,easy,train
566b694e814b,General Knowledge,easy,val
56724fb10c85,Coding,easy,test
569bd8f9ba7e,General Knowledge,medium,train
56a5010d2b1e,Coding,easy,train
56a6360c85a2,Coding,medium,train
56b7b67c47c6,Coding,easy,train
56eaffd540cb,General Knowledge,easy,val
570899fc92a8,Coding,easy,train
5721e663534a,Coding,easy,train
5776b11f2039,Coding,easy,test
57a0ed89afef,General Knowledge,easy,train
57d79945ff6b,Scientific Questionnaire,hard,test
57e473102fe3,General Knowledge,easy,train
57ec9429e57f,Scientific Questionnaire,easy,train
5843ef965220,Coding,easy,train
585b7aea5159,Coding,easy,train
58a50973aa4a,Coding,easy,train
58a98bf651dd,Coding,hard,train
58bf2f59d015,General Knowledge,medium,train
5907e3b4d542,General Knowledge,easy,train
59158d815b8e,General Knowledge,easy,train
591f4fdfb759,Scientific Questionnaire,medium,train
59353b859679,General Knowledge,easy,train
5941b88a1c0e,Coding,easy,train
594a057bd31c,Coding,easy,val
59aa1c6b6a3b,Competitive Math,medium,train
59d27e905502,General Knowledge,hard,test
59da461cc3de,General Knowledge,easy,test
59e2634ac2d6,Coding,easy,val
5a05087128ad,Coding,easy,val
5a24fbccfbda,General Knowledge,medium,val
5a45032c2e7b,General Knowledge,easy,val
5a84fa8dc1c9,General Knowledge,easy,train
5a88b3d999bd,General Knowledge,easy,train
5add12fa5e00,General Knowledge,easy,test
5b419b412200,Coding,medium,val
5b6cdd95377f,General Knowledge,easy,train
5b777ffc4696,General Knowledge,easy,train
5b9bb6fce8a8,General Knowledge,easy,test
5ba9880743d7,Coding,medium,val
5baa170f69d3,Mathematical Reasoning,easy,train
5bafeb078326,Coding,easy,test
5bf59ed14594,General Knowledge,easy,test
5c04619ae29e,Scientific Questionnaire,easy,train
5c31fed3e6ec,Scientific Questionnaire,hard,train
5c412c1fb6c8,Scientific Questionnaire,easy,train
5c620e2f4efa,General Knowledge,easy,train
5c6c03302112,Coding,easy,train
5c7000a20ef8,Coding,hard,train
